Stock,Overall_MAPE
COST,1.6602327993292407
UL,1.332983703481812
AMGN,1.611590703515189
UNH,1.6975868741003228
WAT,2.1014488634827186
UPS,1.9488014788431958
LPX,3.330361890126312
WM,1.3628135746556507
NVDA,3.6938973084692224
GOOGL,2.2110933519922127
MSFT,2.0136731484535915
AXP,2.4567795809916055
BLK,2.1069348302910162
BRK-B,1.402607748142619
NEE,1.8735063420863451
XOM,2.4153624095001645
CNI,1.682227920517679
