Stock,Overall_MAPE
COST,1.3404691154182171
UL,1.415880683012026
AMGN,1.5397975508245931
UNH,1.096682716493612
WAT,1.7818783908803364
UPS,2.415324678102942
LPX,2.5891031673731923
WM,1.0737988938734464
NVDA,3.5160240075161235
GOOGL,1.996939860649227
MSFT,2.163500284295195
AXP,1.838331853053014
BLK,1.6023231312465636
BRK-B,1.031610914303428
NEE,1.679473299653693
XOM,1.8699257010541792
CNI,1.5300053526134563
